rel_thres,strategy,dataset,model,fold,sera_score,config
0.84,RU,data\a1,XGBRegressor,0,68.87733276574629,fixed_params
0.84,RU,data\a1,XGBRegressor,1,1424.393129578024,fixed_params
0.84,RU,data\a1,XGBRegressor,2,3701.32695653171,fixed_params
0.84,RU,data\a1,XGBRegressor,3,589.038845673516,fixed_params
0.84,RU,data\a1,XGBRegressor,4,47.206692282130426,fixed_params
0.84,RU,data\a1,XGBRegressor,5,34.119062383819355,fixed_params
0.84,RU,data\a1,XGBRegressor,6,2859.032197165989,fixed_params
0.84,RU,data\a1,XGBRegressor,7,29.901602616173495,fixed_params
0.84,RU,data\a1,XGBRegressor,8,9444.815168543206,fixed_params
0.84,RU,data\a1,XGBRegressor,9,4887.952439565893,fixed_params
0.84,RU,data\a1,XGBRegressor,10,3720.123245783758,fixed_params
0.84,RU,data\a1,XGBRegressor,11,1603.953981907279,fixed_params
0.84,RU,data\a1,XGBRegressor,12,4320.419090490686,fixed_params
0.84,RU,data\a1,XGBRegressor,13,40.15686892601297,fixed_params
0.84,RU,data\a1,XGBRegressor,14,52.969517831419154,fixed_params
0.84,RU,data\a1,XGBRegressor,15,50.39921233250331,fixed_params
0.84,RU,data\a1,XGBRegressor,16,3434.0301059029866,fixed_params
0.84,RU,data\a1,XGBRegressor,17,1766.6618103173198,fixed_params
0.84,RU,data\a1,XGBRegressor,18,5238.376513588956,fixed_params
0.84,RU,data\a1,XGBRegressor,19,1287.0485493883746,fixed_params
0.84,GN,data\a1,BaggingRegressor,0,44.446299236047935,fixed_params
0.84,GN,data\a1,BaggingRegressor,1,2496.5780205849824,fixed_params
0.84,GN,data\a1,BaggingRegressor,2,1213.1586343862853,fixed_params
0.84,GN,data\a1,BaggingRegressor,3,1505.8904671502219,fixed_params
0.84,GN,data\a1,BaggingRegressor,4,54.370307067876276,fixed_params
0.84,GN,data\a1,BaggingRegressor,5,43.5255422162265,fixed_params
0.84,GN,data\a1,BaggingRegressor,6,1828.7488724016112,fixed_params
0.84,GN,data\a1,BaggingRegressor,7,40.67452369016346,fixed_params
0.84,GN,data\a1,BaggingRegressor,8,3958.480568671435,fixed_params
0.84,GN,data\a1,BaggingRegressor,9,5218.947576866389,fixed_params
0.84,GN,data\a1,BaggingRegressor,10,3142.061679113527,fixed_params
0.84,GN,data\a1,BaggingRegressor,11,1830.4308956724967,fixed_params
0.84,GN,data\a1,BaggingRegressor,12,4170.077699615952,fixed_params
0.84,GN,data\a1,BaggingRegressor,13,35.56110438590561,fixed_params
0.84,GN,data\a1,BaggingRegressor,14,51.89223423055163,fixed_params
